postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh
"2072","194","1693","10.6","1024","638","386","0","179","15","0","31217","199,789","40.2"
"2073","602","4872","11.4","3230","2221","807","202","555","46","1","74899","479,353","96.4"
"2074","901","6518","13.2","3678","3098","580","0","863","38","0","104607","669,482","134.5"
"2075","680","6248","10.4","2945","2567","378","0","649","31","0","94073","602,068","121.2"
"2076","886","7365","11.4","4049","2945","1104","0","842","44","0","111816","715,620","144"
"2077","1132","7658","13.9","5028","3423","1437","168","1064","67","1","143336","917,348","185"
"2079","382","2423","15.4","1410","1281","129","0","372","10","0","29769","190,524","38.3"
"2080","125","604","18.9","630","411","220","0","114","11","0","19419","124,281","25.5"
"2081","435","1841","23.5","1454","1433","21","0","433","2","0","22743","145,553","29.4"
"2082","448","1858","23.6","1644","1518","127","0","439","9","0","23898","152,947","30.8"
"2083","152","844","17.2","598","482","116","0","145","7","0","11829","75,704","15.3"
"2084","233","1161","17.9","1292","834","457","0","208","25","0","37406","239,397","48.4"
"2085","696","4155","16.2","2829","2209","619","0","673","23","0","61073","390,867","78.7"
"2086","663","4335","14.9","2442","2186","256","0","648","15","0","65602","419,854","84.5"
"2087","652","4181","15.0","2586","2128","458","0","629","23","0","56992","364,751","73.5"
"2088","566","6085","8.7","2574","2057","517","0","530","36","0","97321","622,852","125.4"
"2089","67","1167","5.5","267","225","42","0","64","3","0","23646","151,337","30.5"
"2090","162","1867","8.3","601","498","103","0","155","7","0","28624","183,193","36.9"
"2092","313","2377","12.5","1403","1054","348","0","298","15","0","28914","185,047","37.3"
"2093","742","5971","11.8","3321","2450","872","0","707","35","0","76278","488,182","98.4"
"2094","123","1320","9.0","423","369","54","0","119","4","0","14438","92,405","18.6"
"2095","237","1733","12.9","1080","812","268","0","223","14","0","42011","268,868","54.2"
"2096","423","2852","14.3","1616","1389","228","0","408","15","0","36039","230,647","46.5"
"2097","612","3892","15.4","2192","1951","241","0","601","11","0","50814","325,208","65.5"
"2099","1145","7803","14.1","4578","3665","785","129","1099","45","1","121618","778,353","157.3"
"2100","946","6105","14.5","4783","3000","1582","201","886","59","1","130330","834,111","169.5"
"2101","687","4901","13.3","2683","2123","561","0","654","33","0","83974","537,436","108.2"
"2102","371","2025","17.5","1434","1046","387","0","355","16","0","39911","255,431","51.7"
"2103","414","2992","13.0","1999","1325","674","0","389","25","0","56117","359,147","72.7"
"2104","159","1638","8.5","726","476","250","0","140","19","0","19304","123,544","24.9"
"2105","85","977","8.1","395","303","92","0","79","6","0","7940","50,817","10.3"
"2106","276","2779","9.6","1016","867","149","0","266","10","0","37801","241,929","48.8"
"2107","578","5130","10.9","2459","2021","438","0","557","21","0","66700","426,883","86.2"
"2108","85","1241","6.5","348","297","51","0","81","4","0","18828","120,498","24.3"
"2109","1","198","0.0","21","0","21","0","0","1","0","","",""
